OEM_Part_ID,Part_Name,Category,Manufacturer,Sensor_Temperature,Sensor_Vibration,Sensor_Pressure,Supplier_Reliability_Score,Lead_Time_Days
VW087,Airbag Module,Engine,Bosch,90.08608865466738,2.147267205245446,77.45504472718369,0.86,20
VW088,Fuel Injector,Electrical System,Valeo,86.78486739135587,2.2683559252043146,66.41348398910074,0.96,14
VW089,Alternator,Engine,Autoliv,106.45702021635178,2.0501833590747425,70.39229703670566,0.9,25
VW090,Battery,Engine,Brembo,70.80385473638687,1.4535461816763389,30.575303926035343,0.95,16
VW091,Brake Pads,Electrical System,Brembo,77.23556612357737,0.7629829430371471,54.980753644684235,0.89,26
VW092,Turbocharger,Braking System,Autoliv,82.01724252370411,1.273231900598278,74.14440100639933,0.85,14
VW093,Transmission Assembly,Transmission,Bosch,91.81540154719636,0.8659536601555887,78.95416919514918,0.9,26
VW094,Turbocharger,Braking System,Garrett Motion,85.14989340399754,0.14895545769960944,73.43789222840033,0.9,13
VW095,Battery,Electrical System,Autoliv,94.16574455145938,0.23920126505227532,72.94783400015733,0.9,12
VW096,Radiator,Cooling System,ZF Friedrichshafen,85.52641959330268,1.9149335261586153,38.86479948307578,0.86,16
VW097,Turbocharger,Safety System,Valeo,80.2050009879307,0.7392213050940915,70.10460476791785,0.88,20
VW098,Engine Control Module,Electrical System,Garrett Motion,70.29750423179445,0.5596867427307851,45.58204777627396,0.97,8
VW099,Transmission Assembly,Transmission,Autoliv,103.37227266318433,1.1449868581271667,63.472993273030546,0.97,12
VW100,Transmission Assembly,Safety System,Brembo,71.76449726825288,1.095498840642863,39.96727609694705,0.94,15
